classification_output_accuracy,classification_output_precision_12,classification_output_recall_12,loss,segmentation_output_accuracy,segmentation_output_iou,segmentation_output_mean_absolute_error,segmentation_output_mean_io_u_12,val_classification_output_accuracy,val_classification_output_precision_12,val_classification_output_recall_12,val_loss,val_segmentation_output_accuracy,val_segmentation_output_iou,val_segmentation_output_mean_absolute_error,val_segmentation_output_mean_io_u_12,learning_rate
0.9252941012382507,0.946915864944458,0.9068907499313354,0.1813177466392517,0.9740655422210693,0.46843570470809937,0.03987269103527069,0.4679153859615326,0.8054187297821045,0.8268733620643616,0.7881773114204407,0.5975816249847412,0.9671664834022522,0.46303194761276245,0.04249177128076553,0.4657560884952545,0.0010000000474974513
0.9282352924346924,0.9476302862167358,0.9123529195785522,0.1705399453639984,0.9737739562988281,0.46576201915740967,0.04020623490214348,0.46746692061424255,0.8275862336158752,0.8341708779335022,0.8177340030670166,0.5328765511512756,0.9661857485771179,0.45072317123413086,0.04627006873488426,0.4671906530857086,0.0010000000474974513
0.9370588064193726,0.9535509347915649,0.9229411482810974,0.1503256857395172,0.9741323590278625,0.4681720435619354,0.03980126231908798,0.46754929423332214,0.8374384045600891,0.8593350648880005,0.8275862336158752,0.49981245398521423,0.9654132127761841,0.4464704692363739,0.04385802522301674,0.46468743681907654,0.0010000000474974513
0.9438655376434326,0.9582721590995789,0.9321008324623108,0.14396119117736816,0.9742568135261536,0.4694349765777588,0.03952925279736519,0.46739357709884644,0.8472906351089478,0.861892580986023,0.8300492763519287,0.43912625312805176,0.9671328067779541,0.4446280598640442,0.04653417691588402,0.4652663767337799,0.0010000000474974513
0.9490756392478943,0.959673285484314,0.9378991723060608,0.13071760535240173,0.9742777347564697,0.469859778881073,0.039634931832551956,0.4678021967411041,0.7955664992332458,0.8086734414100647,0.7807881832122803,0.6744053959846497,0.9567108750343323,0.39563754200935364,0.05967732146382332,0.4655066728591919,0.0010000000474974513
0.951260507106781,0.9618353247642517,0.9424369931221008,0.12761661410331726,0.9744940996170044,0.4724954664707184,0.03912908583879471,0.46774980425834656,0.866995096206665,0.8787878751754761,0.8571428656578064,0.44625553488731384,0.9670202732086182,0.458832323551178,0.045443013310432434,0.4649277329444885,0.0010000000474974513
0.9508403539657593,0.9613932967185974,0.9416806697845459,0.1241338774561882,0.9747801423072815,0.4748821556568146,0.03880590200424194,0.46753349900245667,0.8448275923728943,0.8632911443710327,0.8399015069007874,0.44411540031433105,0.9670729637145996,0.4644283056259155,0.041998766362667084,0.46640780568122864,0.0010000000474974513
0.9557142853736877,0.9643040299415588,0.9489075541496277,0.1154811903834343,0.9751433730125427,0.47858667373657227,0.03829169645905495,0.4674796164035797,0.8374384045600891,0.8517587780952454,0.8349753618240356,0.4951382279396057,0.9660204648971558,0.4455091655254364,0.04540838673710823,0.46528273820877075,0.0010000000474974513
0.9639495611190796,0.970633327960968,0.9582353234291077,0.10079573094844818,0.9756597876548767,0.48528602719306946,0.03733967989683151,0.467593789100647,0.8546798229217529,0.8618090748786926,0.8448275923728943,0.49766626954078674,0.967397928237915,0.4567246735095978,0.043162159621715546,0.4642031788825989,0.0010000000474974513
0.9636134505271912,0.9697021245956421,0.9574790000915527,0.10017998516559601,0.975627064704895,0.48556825518608093,0.037462424486875534,0.4675252437591553,0.8522167205810547,0.8628429174423218,0.8522167205810547,0.45997458696365356,0.967129647731781,0.46617555618286133,0.0441150888800621,0.4671797454357147,0.0010000000474974513
