classification_output_accuracy,classification_output_precision,classification_output_recall,loss,segmentation_output_accuracy,segmentation_output_mean_absolute_error,segmentation_output_mean_io_u,val_classification_output_accuracy,val_classification_output_precision,val_classification_output_recall,val_loss,val_segmentation_output_accuracy,val_segmentation_output_mean_absolute_error,val_segmentation_output_mean_io_u,learning_rate
0.22457626461982727,0.5361635088920593,0.02948806621134281,0.59783935546875,0.9187050461769104,0.1801208257675171,0.46508103609085083,0.157384991645813,0.739130437374115,0.04116222634911537,1.764556646347046,0.33886924386024475,0.6307472586631775,0.46451428532600403,0.0010000000474974513
0.3899169862270355,0.8528252243995667,0.16836734116077423,0.41495099663734436,0.9524024724960327,0.07635140419006348,0.46518510580062866,0.35835352540016174,0.8514851331710815,0.20823244750499725,0.46477922797203064,0.9379894733428955,0.08755499869585037,0.46451428532600403,0.0010000000474974513
0.5834486484527588,0.8614305257797241,0.38222068548202515,0.29997509717941284,0.9630425572395325,0.05716869235038757,0.46510323882102966,0.537530243396759,0.7564102411270142,0.4285714328289032,0.3758574426174164,0.9482943415641785,0.07551299035549164,0.46451428532600403,0.0010000000474974513
0.7696298956871033,0.8671910166740417,0.6674160957336426,0.20057106018066406,0.9693622589111328,0.046857673674821854,0.4652237892150879,0.46973365545272827,0.5165165066719055,0.4164648950099945,0.6492909789085388,0.9132436513900757,0.10558109730482101,0.46451428532600403,0.0010000000474974513
0.8859391212463379,0.9271965026855469,0.841404378414154,0.13301634788513184,0.9733414053916931,0.040469940751791,0.46537911891937256,0.5157384872436523,0.5227272510528564,0.501210629940033,0.5581387877464294,0.9512473940849304,0.055127255618572235,0.46451428532600403,0.0010000000474974513
0.9253718256950378,0.9500547051429749,0.9014182090759277,0.1020861342549324,0.9765008687973022,0.03541248291730881,0.46588587760925293,0.6029055714607239,0.6392573118209839,0.5835351347923279,0.452618271112442,0.951664388179779,0.05666512995958328,0.46453791856765747,0.0010000000474974513
0.9453476071357727,0.9619584679603577,0.9293497204780579,0.08393672108650208,0.9787257313728333,0.03186734393239021,0.4661507308483124,0.6029055714607239,0.6224489808082581,0.5907990336418152,0.5182143449783325,0.950069010257721,0.056374821811914444,0.4645233750343323,0.0010000000474974513
0.9587513208389282,0.9718747138977051,0.9472500681877136,0.07177555561065674,0.9807546734809875,0.028734324499964714,0.4673653542995453,0.8789346218109131,0.9132652878761292,0.8668280839920044,0.1608911156654358,0.9723204374313354,0.04340919479727745,0.46512162685394287,0.0010000000474974513
0.9646316170692444,0.9761061668395996,0.9538221955299377,0.06239159405231476,0.9823105931282043,0.026322530582547188,0.46883347630500793,0.5811138153076172,0.6005154848098755,0.5641646385192871,0.6099263429641724,0.9056239724159241,0.12211763858795166,0.4651815891265869,0.0010000000474974513
0.9692147970199585,0.9794213175773621,0.9630750417709351,0.05796227604150772,0.9830282926559448,0.025147926062345505,0.46949440240859985,0.6222760081291199,0.6594594717025757,0.5907990336418152,0.41337063908576965,0.9529920220375061,0.06340797990560532,0.46453791856765747,0.0010000000474974513
0.9723278880119324,0.9802371263504028,0.9650639891624451,0.05462361127138138,0.9835226535797119,0.024414924904704094,0.47067874670028687,0.861985445022583,0.8905852437019348,0.8474576473236084,0.17059426009655,0.9732215404510498,0.03184166178107262,0.47116056084632874,0.0010000000474974513
0.9747492074966431,0.982465386390686,0.9690418243408203,0.04877690225839615,0.9847784042358398,0.022525491192936897,0.4712492823600769,0.7554479241371155,0.8058510422706604,0.7336561679840088,0.23971284925937653,0.9656765460968018,0.0405416339635849,0.4656180143356323,0.0010000000474974513
0.9698201417922974,0.9788843989372253,0.9621238112449646,0.055544257164001465,0.983761727809906,0.024039803072810173,0.47163206338882446,0.8401936888694763,0.8668341636657715,0.8353511095046997,0.16551724076271057,0.975027322769165,0.033144645392894745,0.4730536639690399,0.0010000000474974513
0.9885852932929993,0.9922487139701843,0.9852127432823181,0.03520514443516731,0.9872761368751526,0.019229669123888016,0.47638821601867676,0.9539951682090759,0.9654321074485779,0.9467312097549438,0.09623271226882935,0.98028165102005,0.02504834346473217,0.4779312312602997,0.00010000000474974513
